Code,Occupation,Job Zone,Interest1,Interest2,Interest3
29-2053.00,Psychiatric Technicians,3,Social,Enterprising,Realistic
39-5094.00,Skincare Specialists,3,Enterprising,Social,Realistic
27-2022.00,Coaches and Scouts,4,Social,Realistic,Enterprising
25-9021.00,Farm and Home Management Educators,5,Social,Realistic,Enterprising
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,1,Realistic,Conventional,Social
35-3023.00,Fast Food and Counter Workers,1,Realistic,Conventional,Social
33-9011.00,Animal Control Workers,2,Realistic,Social,Conventional
31-1122.00,Personal Care Aides,2,Social,Realistic,Conventional
31-1133.00,Psychiatric Aides,2,Social,Realistic,Conventional
43-4121.00,"Library Assistants, Clerical",2,Conventional,Realistic,Social
31-1132.00,Orderlies,2,Conventional,Realistic,Social
43-2021.00,Telephone Operators,2,Conventional,Social,Realistic
29-2034.00,Radiologic Technologists and Technicians,3,Realistic,Social,Conventional
29-2055.00,Surgical Technologists,3,Realistic,Social,Conventional
29-2035.00,Magnetic Resonance Imaging Technologists,3,Realistic,Conventional,Social
29-1292.00,Dental Hygienists,3,Social,Realistic,Conventional
29-1124.00,Radiation Therapists,3,Social,Realistic,Conventional
31-9091.00,Dental Assistants,3,Conventional,Realistic,Social
31-9092.00,Medical Assistants,3,Social,Conventional,Realistic
31-1131.00,Nursing Assistants,3,Social,Conventional,Realistic
29-2057.00,Ophthalmic Medical Technicians,3,Conventional,Social,Realistic
29-9093.00,Surgical Assistants,3,Conventional,Social,Realistic
25-4022.00,Librarians and Media Collections Specialists,5,Conventional,Social,Realistic
47-2051.00,Cement Masons and Concrete Finishers,1,Realistic,Enterprising,
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,1,Realistic,,
39-3091.00,Amusement and Recreation Attendants,1,Enterprising,Conventional,Realistic
35-3023.01,Baristas,1,Enterprising,Conventional,Realistic
47-2041.00,Carpet Installers,2,Realistic,Enterprising,
33-3012.00,Correctional Officers and Jailers,2,Realistic,Enterprising,Conventional
53-3031.00,Driver/Sales Workers,2,Realistic,Enterprising,
53-7041.00,Hoist and Winch Operators,2,Realistic,Enterprising,Conventional
47-5012.00,"Rotary Drill Operators, Oil and Gas",2,Realistic,Enterprising,Conventional
39-5093.00,Shampooers,2,Realistic,Enterprising,Conventional
49-9052.00,Telecommunications Line Installers and Repairers,2,Realistic,Enterprising,
33-9093.00,Transportation Security Screeners,2,Realistic,Enterprising,Conventional
27-2023.00,"Umpires, Referees, and Other Sports Officials",2,Realistic,Enterprising,Conventional
51-6093.00,Upholsterers,2,Realistic,,
49-3022.00,Automotive Glass Installers and Repairers,2,Realistic,Conventional,Enterprising
53-6011.00,Bridge and Lock Tenders,2,Realistic,Conventional,Enterprising
51-3021.00,Butchers and Meat Cutters,2,Realistic,Conventional,Enterprising
43-5021.00,Couriers and Messengers,2,Realistic,Conventional,Enterprising
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,2,Realistic,Conventional,Enterprising
53-5022.00,Motorboat Operators,2,Realistic,Conventional,Enterprising
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",2,Realistic,Conventional,Enterprising
33-9032.00,Security Guards,2,Realistic,Conventional,Enterprising
51-2092.00,Team Assemblers,2,Realistic,Conventional,Enterprising
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2,Enterprising,Realistic,Conventional
53-4031.00,Railroad Conductors and Yardmasters,2,Enterprising,Realistic,Conventional
43-9021.00,Data Entry Keyers,2,Conventional,Realistic,Enterprising
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",2,Conventional,Realistic,Enterprising
43-4071.00,File Clerks,2,Conventional,Realistic,Enterprising
43-5031.00,Public Safety Telecommunicators,2,Conventional,Realistic,Enterprising
43-5071.00,"Shipping, Receiving, and Inventory Clerks",2,Conventional,Realistic,Enterprising
53-7065.00,Stockers and Order Fillers,2,Conventional,Realistic,Enterprising
35-3011.00,Bartenders,2,Enterprising,Conventional,Realistic
41-9011.00,Demonstrators and Product Promoters,2,Enterprising,Conventional,Realistic
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,2,Enterprising,Conventional,Realistic
39-1013.00,First-Line Supervisors of Gambling Services Workers,2,Enterprising,Conventional,Realistic
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,2,Enterprising,Conventional,Realistic
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,2,Enterprising,Conventional,Realistic
11-9051.00,Food Service Managers,2,Enterprising,Conventional,Realistic
41-2022.00,Parts Salespersons,2,Enterprising,Conventional,Realistic
43-5011.00,Cargo and Freight Agents,2,Conventional,Enterprising,Realistic
39-3012.00,Gambling and Sports Book Writers and Runners,2,Conventional,Enterprising,Realistic
43-3041.00,Gambling Cage Workers,2,Conventional,Enterprising,Realistic
41-2012.00,Gambling Change Persons and Booth Cashiers,2,Conventional,Enterprising,Realistic
39-3011.00,Gambling Dealers,2,Conventional,Enterprising,Realistic
43-9061.00,"Office Clerks, General",2,Conventional,Enterprising,Realistic
23-2093.00,"Title Examiners, Abstractors, and Searchers",2,Conventional,Enterprising,Realistic
39-5011.00,Barbers,3,Realistic,Enterprising,Conventional
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",3,Realistic,Enterprising,Conventional
15-1241.01,Telecommunications Engineering Specialists,3,Realistic,Enterprising,Conventional
33-3052.00,Transit and Railroad Police,3,Realistic,Enterprising,Conventional
33-3011.00,Bailiffs,3,Realistic,Conventional,Enterprising
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3,Realistic,Conventional,Enterprising
51-8011.00,Nuclear Power Reactor Operators,3,Realistic,Conventional,Enterprising
53-5031.00,Ship Engineers,3,Realistic,Conventional,Enterprising
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,3,Enterprising,Realistic,Conventional
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",3,Enterprising,Realistic,Conventional
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3,Enterprising,Realistic,Conventional
51-1011.00,First-Line Supervisors of Production and Operating Workers,3,Enterprising,Realistic,Conventional
13-1032.00,"Insurance Appraisers, Auto Damage",3,Conventional,Realistic,Enterprising
53-2022.00,Airfield Operations Specialists,3,Enterprising,Conventional,Realistic
33-1011.00,First-Line Supervisors of Correctional Officers,3,Enterprising,Conventional,Realistic
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",3,Enterprising,Conventional,Realistic
29-2081.00,"Opticians, Dispensing",3,Enterprising,Conventional,Realistic
41-4011.07,Solar Sales Representatives and Assessors,3,Enterprising,Conventional,Realistic
11-9199.09,Wind Energy Operations Managers,3,Enterprising,Conventional,Realistic
33-3051.04,Customs and Border Protection Officers,3,Conventional,Enterprising,Realistic
13-1041.04,Government Property Inspectors and Investigators,3,Conventional,Enterprising,Realistic
15-1231.00,Computer Network Support Specialists,4,Realistic,Enterprising,Conventional
53-6051.00,Transportation Inspectors,4,Realistic,Conventional,Enterprising
11-9021.00,Construction Managers,4,Enterprising,Realistic,Conventional
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",4,Enterprising,Realistic,Conventional
27-2012.05,Media Technical Directors/Managers,4,Enterprising,Realistic,Conventional
13-2023.00,Appraisers and Assessors of Real Estate,4,Enterprising,Conventional,Realistic
11-3051.03,Biofuels Production Managers,4,Enterprising,Conventional,Realistic
11-3051.04,Biomass Power Plant Managers,4,Enterprising,Conventional,Realistic
13-1021.00,"Buyers and Purchasing Agents, Farm Products",4,Enterprising,Conventional,Realistic
13-1199.06,Online Merchants,4,Enterprising,Conventional,Realistic
11-3051.01,Quality Control Systems Managers,4,Enterprising,Conventional,Realistic
11-3071.00,"Transportation, Storage, and Distribution Managers",4,Enterprising,Conventional,Realistic
11-9199.02,Compliance Managers,4,Conventional,Enterprising,Realistic
29-1129.02,Music Therapists,4,Social,Artistic,Investigative
19-3094.00,Political Scientists,5,Investigative,Artistic,Social
19-3041.00,Sociologists,5,Investigative,Artistic,Social
19-3033.00,Clinical and Counseling Psychologists,5,Investigative,Social,Artistic
29-1223.00,Psychiatrists,5,Investigative,Social,Artistic
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",5,Social,Investigative,Artistic
25-1053.00,"Environmental Science Teachers, Postsecondary",5,Social,Investigative,Artistic
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",5,Social,Investigative,Artistic
29-9092.00,Genetic Counselors,5,Social,Investigative,Artistic
25-1125.00,"History Teachers, Postsecondary",5,Social,Investigative,Artistic
25-1022.00,"Mathematical Science Teachers, Postsecondary",5,Social,Investigative,Artistic
21-1023.00,Mental Health and Substance Abuse Social Workers,5,Social,Investigative,Artistic
21-1014.00,Mental Health Counselors,5,Social,Investigative,Artistic
25-1066.00,"Psychology Teachers, Postsecondary",5,Social,Investigative,Artistic
25-1067.00,"Sociology Teachers, Postsecondary",5,Social,Investigative,Artistic
29-1127.00,Speech-Language Pathologists,5,Social,Investigative,Artistic
29-1129.01,Art Therapists,5,Social,Artistic,Investigative
25-1081.00,"Education Teachers, Postsecondary",5,Social,Artistic,Investigative
25-1123.00,"English Language and Literature Teachers, Postsecondary",5,Social,Artistic,Investigative
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",5,Social,Artistic,Investigative
21-1013.00,Marriage and Family Therapists,5,Social,Artistic,Investigative
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",5,Social,Artistic,Investigative
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,5,Social,Artistic,Investigative
13-1199.05,Sustainability Specialists,4,Enterprising,Investigative,Artistic
27-4032.00,Film and Video Editors,4,Artistic,Enterprising,Investigative
27-3023.00,"News Analysts, Reporters, and Journalists",4,Artistic,Enterprising,Investigative
19-3032.00,Industrial-Organizational Psychologists,5,Investigative,Enterprising,Artistic
19-3051.00,Urban and Regional Planners,5,Investigative,Enterprising,Artistic
43-9031.00,Desktop Publishers,3,Artistic,Investigative,Conventional
27-3042.00,Technical Writers,4,Artistic,Investigative,Conventional
15-2021.00,Mathematicians,5,Investigative,Conventional,Artistic
21-1094.00,Community Health Workers,4,Social,Investigative,Enterprising
29-1031.00,Dietitians and Nutritionists,5,Investigative,Social,
25-9031.00,Instructional Coordinators,5,Social,Investigative,Enterprising
25-1112.00,"Law Teachers, Postsecondary",5,Social,Investigative,Enterprising
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",5,Enterprising,Investigative,Social
25-1011.00,"Business Teachers, Postsecondary",5,Social,Enterprising,Investigative
29-1141.00,Registered Nurses,4,Social,Investigative,Conventional
29-1181.00,Audiologists,5,Investigative,Social,
29-1051.00,Pharmacists,5,Investigative,Conventional,Social
25-1021.00,"Computer Science Teachers, Postsecondary",5,Social,Investigative,Conventional
25-1082.00,"Library Science Teachers, Postsecondary",5,Social,Investigative,Conventional
33-3021.00,Detectives and Criminal Investigators,3,Enterprising,Investigative,Conventional
23-2011.00,Paralegals and Legal Assistants,3,Conventional,Investigative,Enterprising
15-2051.01,Business Intelligence Analysts,4,Investigative,Enterprising,Conventional
13-1161.00,Market Research Analysts and Marketing Specialists,4,Investigative,Enterprising,Conventional
11-9121.02,Water Resource Specialists,4,Investigative,Enterprising,Conventional
15-1241.00,Computer Network Architects,4,Investigative,Conventional,Enterprising
15-1243.00,Database Architects,4,Investigative,Conventional,Enterprising
17-2112.00,Industrial Engineers,4,Investigative,Conventional,Enterprising
33-3021.06,Intelligence Analysts,4,Investigative,Conventional,Enterprising
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,4,Enterprising,Investigative,Conventional
13-1199.04,Business Continuity Planners,4,Enterprising,Investigative,Conventional
11-9121.01,Clinical Research Coordinators,4,Enterprising,Investigative,Conventional
13-2099.04,"Fraud Examiners, Investigators and Analysts",4,Enterprising,Investigative,Conventional
13-1161.01,Search Marketing Strategists,4,Enterprising,Investigative,Conventional
15-2011.00,Actuaries,4,Conventional,Investigative,Enterprising
11-3021.00,Computer and Information Systems Managers,4,Enterprising,Conventional,Investigative
11-9199.10,Wind Energy Development Managers,4,Enterprising,Conventional,Investigative
13-2011.00,Accountants and Auditors,4,Conventional,Enterprising,Investigative
13-2031.00,Budget Analysts,4,Conventional,Enterprising,Investigative
13-1031.00,"Claims Adjusters, Examiners, and Investigators",4,Conventional,Enterprising,Investigative
13-2053.00,Insurance Underwriters,4,Conventional,Enterprising,Investigative
13-1081.02,Logistics Analysts,4,Conventional,Enterprising,Investigative
15-1299.01,Web Administrators,4,Conventional,Enterprising,Investigative
19-2041.01,Climate Change Policy Analysts,5,Investigative,Enterprising,
19-3011.01,Environmental Economists,5,Investigative,Enterprising,Conventional
19-2041.03,Industrial Ecologists,5,Investigative,Enterprising,
13-1111.00,Management Analysts,5,Investigative,Enterprising,Conventional
19-3011.00,Economists,5,Investigative,Conventional,Enterprising
15-2031.00,Operations Research Analysts,5,Investigative,Conventional,Enterprising
19-3022.00,Survey Researchers,5,Investigative,Conventional,Enterprising
11-1011.03,Chief Sustainability Officers,5,Enterprising,Conventional,Investigative
23-1012.00,Judicial Law Clerks,5,Conventional,Enterprising,Investigative
39-9011.01,Nannies,2,Social,Artistic,Enterprising
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",3,Artistic,Enterprising,Social
27-2042.00,Musicians and Singers,3,Artistic,Enterprising,Social
25-3021.00,Self-Enrichment Teachers,3,Social,Artistic,Enterprising
27-2032.00,Choreographers,4,Artistic,Social,Enterprising
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,4,Artistic,Enterprising,Social
27-2041.00,Music Directors and Composers,4,Artistic,Enterprising,Social
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4,Social,Artistic,Enterprising
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",4,Social,Artistic,Enterprising
27-2012.00,Producers and Directors,4,Enterprising,Artistic,Social
27-3031.00,Public Relations Specialists,4,Enterprising,Artistic,Social
39-9032.00,Recreation Workers,4,Social,Enterprising,Artistic
21-2011.00,Clergy,5,Social,Enterprising,Artistic
25-1065.00,"Political Science Teachers, Postsecondary",5,Social,Enterprising,Artistic
27-3091.00,Interpreters and Translators,4,Artistic,Social,
25-2023.00,"Career/Technical Education Teachers, Middle School",4,Social,Artistic,Conventional
25-2021.00,"Elementary School Teachers, Except Special Education",4,Social,Artistic,Conventional
13-1151.00,Training and Development Specialists,4,Social,Artistic,Conventional
27-3041.00,Editors,4,Artistic,Enterprising,Conventional
15-1255.01,Video Game Designers,4,Artistic,Enterprising,
11-2011.00,Advertising and Promotions Managers,4,Enterprising,Artistic,Conventional
27-3043.00,Writers and Authors,4,Enterprising,Artistic,Conventional
41-3011.00,Advertising Sales Agents,4,Enterprising,Conventional,Artistic
13-1131.00,Fundraisers,4,Enterprising,Conventional,Artistic
27-2012.03,Media Programming Directors,4,Enterprising,Conventional,Artistic
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",2,Social,Enterprising,Conventional
35-3031.00,Waiters and Waitresses,2,Social,Enterprising,Conventional
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2,Social,Conventional,Enterprising
43-4051.00,Customer Service Representatives,2,Enterprising,Social,Conventional
53-2031.00,Flight Attendants,2,Enterprising,Social,Conventional
41-1011.00,First-Line Supervisors of Retail Sales Workers,2,Enterprising,Conventional,Social
11-9131.00,Postmasters and Mail Superintendents,2,Enterprising,Conventional,Social
43-3021.00,Billing and Posting Clerks,2,Conventional,Enterprising,Social
43-4031.00,"Court, Municipal, and License Clerks",2,Conventional,Enterprising,Social
43-4041.00,"Credit Authorizers, Checkers, and Clerks",2,Conventional,Enterprising,Social
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",2,Conventional,Enterprising,Social
43-9041.00,Insurance Claims and Policy Processing Clerks,2,Conventional,Enterprising,Social
43-4151.00,Order Clerks,2,Conventional,Enterprising,Social
43-4171.00,Receptionists and Information Clerks,2,Conventional,Enterprising,Social
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,2,Conventional,Enterprising,Social
43-2011.00,"Switchboard Operators, Including Answering Service",2,Conventional,Enterprising,Social
39-6012.00,Concierges,3,Social,Enterprising,
39-9041.00,Residential Advisors,3,Social,Enterprising,Conventional
43-4061.00,"Eligibility Interviewers, Government Programs",3,Social,Conventional,Enterprising
33-1012.00,First-Line Supervisors of Police and Detectives,3,Enterprising,Social,Conventional
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3,Enterprising,Social,Conventional
25-4031.00,Library Technicians,3,Conventional,Social,Enterprising
13-1041.00,Compliance Officers,3,Enterprising,Conventional,Social
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,3,Enterprising,Conventional,Social
39-1022.00,First-Line Supervisors of Personal Service Workers,3,Enterprising,Conventional,Social
11-9171.00,Funeral Home Managers,3,Enterprising,Conventional,Social
11-9179.02,Spa Managers,3,Enterprising,Conventional,Social
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",3,Conventional,Enterprising,Social
43-4111.00,"Interviewers, Except Eligibility and Loan",3,Conventional,Enterprising,Social
43-4141.00,New Accounts Clerks,3,Conventional,Enterprising,Social
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4,Social,Enterprising,Conventional
13-1041.03,Equal Opportunity Representatives and Officers,4,Social,Enterprising,Conventional
21-1092.00,Probation Officers and Correctional Treatment Specialists,4,Social,Enterprising,Conventional
13-2071.00,Credit Counselors,4,Enterprising,Social,Conventional
21-2021.00,"Directors, Religious Activities and Education",4,Enterprising,Social,Conventional
11-3121.00,Human Resources Managers,4,Enterprising,Social,Conventional
21-1093.00,Social and Human Service Assistants,4,Conventional,Social,Enterprising
11-3111.00,Compensation and Benefits Managers,4,Enterprising,Conventional,Social
11-3031.00,Financial Managers,4,Enterprising,Conventional,Social
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,4,Enterprising,Conventional,Social
11-1021.00,General and Operations Managers,4,Enterprising,Conventional,Social
13-1071.00,Human Resources Specialists,4,Enterprising,Conventional,Social
41-3021.00,Insurance Sales Agents,4,Enterprising,Conventional,Social
13-1075.00,Labor Relations Specialists,4,Enterprising,Conventional,Social
11-9081.00,Lodging Managers,4,Enterprising,Conventional,Social
13-1121.00,"Meeting, Convention, and Event Planners",4,Enterprising,Conventional,Social
13-2052.00,Personal Financial Advisors,4,Enterprising,Conventional,Social
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",4,Enterprising,Conventional,Social
13-2072.00,Loan Officers,4,Conventional,Enterprising,Social
23-1022.00,"Arbitrators, Mediators, and Conciliators",5,Social,Enterprising,
29-1141.04,Clinical Nurse Specialists,5,Enterprising,Social,Conventional
11-9032.00,"Education Administrators, Kindergarten through Secondary",5,Enterprising,Social,Conventional
11-9033.00,"Education Administrators, Postsecondary",5,Enterprising,Conventional,Social
11-9111.00,Medical and Health Services Managers,5,Enterprising,Conventional,Social
45-2021.00,Animal Breeders,2,Realistic,Investigative,
17-3027.00,Mechanical Engineering Technologists and Technicians,3,Realistic,Investigative,
17-2199.11,Solar Energy Systems Engineers,4,Realistic,Investigative,
17-2011.00,Aerospace Engineers,4,Investigative,Realistic,
19-2021.00,Atmospheric and Space Scientists,4,Investigative,Realistic,
17-2031.00,Bioengineers and Biomedical Engineers,4,Investigative,Realistic,
17-2041.00,Chemical Engineers,4,Investigative,Realistic,
17-2071.00,Electrical Engineers,4,Investigative,Realistic,
17-2072.00,"Electronics Engineers, Except Computer",4,Investigative,Realistic,
17-2199.03,"Energy Engineers, Except Wind and Solar",4,Investigative,Realistic,
19-1011.00,Animal Scientists,5,Investigative,Realistic,
19-1029.04,Biologists,5,Investigative,Realistic,
29-2011.02,Cytotechnologists,5,Investigative,Realistic,
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",5,Investigative,Realistic,
17-2112.01,Human Factors Engineers and Ergonomists,5,Investigative,Realistic,
19-2043.00,Hydrologists,5,Investigative,Realistic,
19-2032.00,Materials Scientists,5,Investigative,Realistic,
19-1022.00,Microbiologists,5,Investigative,Realistic,
29-1222.00,"Physicians, Pathologists",5,Investigative,Realistic,
19-2012.00,Physicists,5,Investigative,Realistic,
29-1024.00,Prosthodontists,5,Investigative,Realistic,
19-1013.00,Soil and Plant Scientists,5,Investigative,Realistic,
29-1131.00,Veterinarians,5,Investigative,Realistic,
19-1023.00,Zoologists and Wildlife Biologists,5,Investigative,Realistic,
27-2031.00,Dancers,3,Artistic,Realistic,
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",3,Artistic,Realistic,
39-5091.00,"Makeup Artists, Theatrical and Performance",3,Artistic,Realistic,
