Code,Occupation,Job Zone,Interest1,Interest2,Interest3
27-4021.00,Photographers,3,Artistic,Realistic,
25-4013.00,Museum Technicians and Conservators,4,Realistic,Artistic,
27-1027.00,Set and Exhibit Designers,5,Artistic,Realistic,
31-1121.00,Home Health Aides,2,Social,Realistic,
31-2022.00,Physical Therapist Aides,2,Social,Realistic,
25-1194.00,"Career/Technical Education Teachers, Postsecondary",3,Social,Realistic,
29-2061.00,Licensed Practical and Licensed Vocational Nurses,3,Social,Realistic,
31-9011.00,Massage Therapists,3,Social,Realistic,
31-2012.00,Occupational Therapy Aides,3,Social,Realistic,
31-2011.00,Occupational Therapy Assistants,3,Social,Realistic,
25-2059.01,Adapted Physical Education Specialists,5,Social,Realistic,
29-9099.01,Midwives,5,Social,Realistic,
27-2021.00,Athletes and Sports Competitors,2,Realistic,Enterprising,
35-2014.00,"Cooks, Restaurant",2,Realistic,Enterprising,
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",2,Realistic,,
53-1041.00,Aircraft Cargo Handling Supervisors,2,Enterprising,Realistic,
47-1011.03,Solar Energy Installation Managers,3,Enterprising,Realistic,
45-2091.00,Agricultural Equipment Operators,1,Realistic,,
53-7011.00,Conveyor Operators and Tenders,1,Realistic,Conventional,
35-2011.00,"Cooks, Fast Food",1,Realistic,Conventional,
51-9031.00,"Cutters and Trimmers, Hand",1,Realistic,Conventional,
35-9021.00,Dishwashers,1,Realistic,Conventional,
45-4021.00,Fallers,1,Realistic,Conventional,
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1,Realistic,Conventional,
47-2043.00,Floor Sanders and Finishers,1,Realistic,,
35-2021.00,Food Preparation Workers,1,Realistic,Conventional,
45-2041.00,"Graders and Sorters, Agricultural Products",1,Realistic,Conventional,
51-9022.00,"Grinding and Polishing Workers, Hand",1,Realistic,Conventional,
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1,Realistic,Conventional,
37-3011.00,Landscaping and Groundskeeping Workers,1,Realistic,Conventional,
51-6011.00,Laundry and Dry-Cleaning Workers,1,Realistic,Conventional,
37-2012.00,Maids and Housekeeping Cleaners,1,Realistic,Conventional,
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",1,Realistic,,
51-6021.00,"Pressers, Textile, Garment, and Related Materials",1,Realistic,Conventional,
47-5051.00,"Rock Splitters, Quarry",1,Realistic,Conventional,
47-5071.00,"Roustabouts, Oil and Gas",1,Realistic,,
51-6031.00,Sewing Machine Operators,1,Realistic,Conventional,
51-9191.00,Adhesive Bonding Machine Operators and Tenders,2,Realistic,Conventional,
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2,Realistic,Conventional,
39-2021.00,Animal Caretakers,2,Realistic,Conventional,
53-6031.00,Automotive and Watercraft Service Attendants,2,Realistic,Conventional,
39-6011.00,Baggage Porters and Bellhops,2,Realistic,Conventional,
51-3011.00,Bakers,2,Realistic,Conventional,
51-7011.00,Cabinetmakers and Bench Carpenters,2,Realistic,Conventional,
51-9011.00,Chemical Equipment Operators and Tenders,2,Realistic,Conventional,
51-8091.00,Chemical Plant and System Operators,2,Realistic,Conventional,
53-7061.00,Cleaners of Vehicles and Equipment,2,Realistic,Conventional,
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2,Realistic,Conventional,
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",2,Realistic,Conventional,
47-2061.00,Construction Laborers,2,Realistic,Conventional,
35-2012.00,"Cooks, Institution and Cafeteria",2,Realistic,Conventional,
35-2015.00,"Cooks, Short Order",2,Realistic,Conventional,
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",2,Realistic,Conventional,
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,Conventional,
53-7031.00,Dredge Operators,2,Realistic,,
47-2081.00,Drywall and Ceiling Tile Installers,2,Realistic,Conventional,
51-2022.00,Electrical and Electronic Equipment Assemblers,2,Realistic,Conventional,
51-2031.00,Engine and Other Machine Assemblers,2,Realistic,Conventional,
51-9194.00,Etchers and Engravers,2,Realistic,Conventional,
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,Conventional,
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2,Realistic,,
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,Realistic,,
47-4031.00,Fence Erectors,2,Realistic,Conventional,
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2,Realistic,Conventional,
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2,Realistic,Conventional,
51-3092.00,Food Batchmakers,2,Realistic,Conventional,
51-3093.00,Food Cooking Machine Operators and Tenders,2,Realistic,Conventional,
51-4071.00,Foundry Mold and Coremakers,2,Realistic,Conventional,
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2,Realistic,Conventional,
53-7071.00,Gas Compressor and Gas Pumping Station Operators,2,Realistic,Conventional,
49-9099.01,Geothermal Technicians,2,Realistic,Conventional,
47-2121.00,Glaziers,2,Realistic,Conventional,
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,,
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,Conventional,
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,2,Realistic,Conventional,
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2,Realistic,,
47-3012.00,Helpers--Carpenters,2,Realistic,Conventional,
47-3013.00,Helpers--Electricians,2,Realistic,Conventional,
47-5081.00,Helpers--Extraction Workers,2,Realistic,Conventional,
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",2,Realistic,,
51-9198.00,Helpers--Production Workers,2,Realistic,Conventional,
47-3016.00,Helpers--Roofers,2,Realistic,Conventional,
47-4051.00,Highway Maintenance Workers,2,Realistic,Conventional,
53-7051.00,Industrial Truck and Tractor Operators,2,Realistic,Conventional,
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",2,Realistic,,
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2,Realistic,Conventional,
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",2,Realistic,,
53-3033.00,Light Truck Drivers,2,Realistic,Conventional,
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",2,Realistic,Conventional,
49-9094.00,Locksmiths and Safe Repairers,2,Realistic,Conventional,
53-4011.00,Locomotive Engineers,2,Realistic,Conventional,
45-4023.00,Log Graders and Scalers,2,Realistic,Conventional,
53-7063.00,Machine Feeders and Offbearers,2,Realistic,Conventional,
49-9095.00,Manufactured Building and Mobile Home Installers,2,Realistic,Conventional,
49-9011.00,Mechanical Door Repairers,2,Realistic,,
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,Conventional,
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",2,Realistic,Conventional,
39-3021.00,Motion Picture Projectionists,2,Realistic,Conventional,
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,,
43-9071.00,"Office Machine Operators, Except Computer",2,Realistic,Conventional,
51-9083.00,Ophthalmic Laboratory Technicians,2,Realistic,Conventional,
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,2,Realistic,Conventional,
51-9111.00,Packaging and Filling Machine Operators and Tenders,2,Realistic,Conventional,
53-7064.00,"Packers and Packagers, Hand",2,Realistic,Conventional,
47-2141.00,"Painters, Construction and Maintenance",2,Realistic,Conventional,
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",2,Realistic,Conventional,
47-2142.00,Paperhangers,2,Realistic,Conventional,
53-6021.00,Parking Attendants,2,Realistic,Conventional,
33-3041.00,Parking Enforcement Workers,2,Realistic,Conventional,
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",2,Realistic,Conventional,
37-2021.00,Pest Control Workers,2,Realistic,Conventional,
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2,Realistic,Conventional,
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2,Realistic,Conventional,
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,Conventional,
51-4052.00,"Pourers and Casters, Metal",2,Realistic,Conventional,
51-8013.00,Power Plant Operators,2,Realistic,Conventional,
51-5113.00,Print Binding and Finishing Workers,2,Realistic,Conventional,
51-5112.00,Printing Press Operators,2,Realistic,Conventional,
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,2,Realistic,,
53-7062.04,Recycling and Reclamation Workers,2,Realistic,Conventional,
53-7081.00,Refuse and Recyclable Material Collectors,2,Realistic,Conventional,
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,Conventional,
47-5043.00,"Roof Bolters, Mining",2,Realistic,Conventional,
47-2181.00,Roofers,2,Realistic,Conventional,
53-5011.00,Sailors and Marine Oilers,2,Realistic,Conventional,
47-4091.00,Segmental Pavers,2,Realistic,Conventional,
47-2211.00,Sheet Metal Workers,2,Realistic,,
51-6042.00,Shoe Machine Operators and Tenders,2,Realistic,Conventional,
51-3023.00,Slaughterers and Meat Packers,2,Realistic,Conventional,
47-2231.00,Solar Photovoltaic Installers,2,Realistic,Conventional,
53-4041.00,Subway and Streetcar Operators,2,Realistic,Conventional,
53-7121.00,"Tank Car, Truck, and Ship Loaders",2,Realistic,Conventional,
47-2082.00,Tapers,2,Realistic,,
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,2,Realistic,,
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",2,Realistic,Conventional,
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",2,Realistic,Conventional,
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",2,Realistic,Conventional,
51-2061.00,Timing Device Assemblers and Adjusters,2,Realistic,Conventional,
51-9197.00,Tire Builders,2,Realistic,Conventional,
49-3093.00,Tire Repairers and Changers,2,Realistic,Conventional,
51-4194.00,"Tool Grinders, Filers, and Sharpeners",2,Realistic,Conventional,
47-4099.03,Weatherization Installers and Technicians,2,Realistic,Conventional,
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2,Realistic,Conventional,
39-3092.00,Costume Attendants,2,Conventional,Realistic,
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",2,Conventional,Realistic,
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",2,Conventional,Realistic,
43-5041.00,"Meter Readers, Utilities",2,Conventional,Realistic,
31-9095.00,Pharmacy Aides,2,Conventional,Realistic,
51-9151.00,Photographic Process Workers and Processing Machine Operators,2,Conventional,Realistic,
43-5051.00,Postal Service Clerks,2,Conventional,Realistic,
43-5052.00,Postal Service Mail Carriers,2,Conventional,Realistic,
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",2,Conventional,Realistic,
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",2,Conventional,Realistic,
49-2097.00,Audiovisual Equipment Installers and Repairers,3,Realistic,Conventional,
47-2011.00,Boilermakers,3,Realistic,Conventional,
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,3,Realistic,Conventional,
51-9161.00,Computer Numerically Controlled Tool Operators,3,Realistic,Conventional,
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",3,Realistic,Conventional,
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",3,Realistic,Conventional,
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",3,Realistic,Conventional,
51-8092.00,Gas Plant Operators,3,Realistic,Conventional,
47-4041.00,Hazardous Materials Removal Workers,3,Realistic,Conventional,
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",3,Realistic,Conventional,
49-3052.00,Motorcycle Mechanics,3,Realistic,,
51-5111.00,Prepress Technicians and Workers,3,Realistic,Conventional,
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",3,Realistic,Conventional,
49-2098.00,Security and Fire Alarm Systems Installers,3,Realistic,Conventional,
49-9097.00,Signal and Track Switch Repairers,3,Realistic,Conventional,
47-2152.04,Solar Thermal Installers and Technicians,3,Realistic,Conventional,
51-2041.00,Structural Metal Fabricators and Fitters,3,Realistic,Conventional,
51-8031.00,Water and Wastewater Treatment Plant and System Operators,3,Realistic,Conventional,
49-9081.00,Wind Turbine Service Technicians,3,Realistic,Conventional,
31-9094.00,Medical Transcriptionists,3,Conventional,Realistic,
19-5012.00,Occupational Health and Safety Technicians,3,Conventional,Realistic,
29-2052.00,Pharmacy Technicians,3,Conventional,Realistic,
27-3043.05,"Poets, Lyricists and Creative Writers",4,Artistic,Investigative,
27-1014.00,Special Effects Artists and Animators,4,Artistic,Investigative,
17-1011.00,"Architects, Except Landscape and Naval",5,Artistic,Investigative,
15-1211.01,Health Informatics Specialists,4,Social,Investigative,
21-1015.00,Rehabilitation Counselors,4,Social,Investigative,
25-2058.00,"Special Education Teachers, Secondary School",4,Social,Investigative,
25-3041.00,Tutors,4,Social,Investigative,
19-1041.00,Epidemiologists,5,Investigative,Social,
29-1215.00,Family Medicine Physicians,5,Investigative,Social,
29-1299.01,Naturopathic Physicians,5,Investigative,Social,
29-1221.00,"Pediatricians, General",5,Investigative,Social,
19-3034.00,School Psychologists,5,Investigative,Social,
29-1141.02,Advanced Practice Psychiatric Nurses,5,Social,Investigative,
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",5,Social,Investigative,
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5,Social,Investigative,
25-1042.00,"Biological Science Teachers, Postsecondary",5,Social,Investigative,
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",5,Social,Investigative,
25-1063.00,"Economics Teachers, Postsecondary",5,Social,Investigative,
25-1064.00,"Geography Teachers, Postsecondary",5,Social,Investigative,
25-1071.00,"Health Specialties Teachers, Postsecondary",5,Social,Investigative,
21-1022.00,Healthcare Social Workers,5,Social,Investigative,
29-1229.02,Hospitalists,5,Social,Investigative,
29-1161.00,Nurse Midwives,5,Social,Investigative,
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",5,Social,Investigative,
29-1122.00,Occupational Therapists,5,Social,Investigative,
25-1054.00,"Physics Teachers, Postsecondary",5,Social,Investigative,
25-1113.00,"Social Work Teachers, Postsecondary",5,Social,Investigative,
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4,Enterprising,Investigative,
23-1011.00,Lawyers,5,Enterprising,Investigative,
11-9121.00,Natural Sciences Managers,5,Enterprising,Investigative,
15-1251.00,Computer Programmers,4,Investigative,Conventional,
15-1243.01,Data Warehousing Specialists,4,Investigative,Conventional,
19-5011.00,Occupational Health and Safety Specialists,4,Investigative,Conventional,
15-2051.02,Clinical Data Managers,4,Conventional,Investigative,
15-1242.00,Database Administrators,4,Conventional,Investigative,
19-4061.00,Social Science Research Assistants,4,Conventional,Investigative,
43-9111.00,Statistical Assistants,4,Conventional,Investigative,
15-2041.01,Biostatisticians,5,Investigative,Conventional,
13-2099.01,Financial Quantitative Analysts,5,Investigative,Conventional,
19-3093.00,Historians,5,Investigative,,
25-4011.00,Archivists,5,Conventional,Investigative,
15-2041.00,Statisticians,5,Conventional,Investigative,
39-9011.00,Childcare Workers,2,Social,Artistic,
25-2011.00,"Preschool Teachers, Except Special Education",3,Social,Artistic,
25-2012.00,"Kindergarten Teachers, Except Special Education",4,Social,Artistic,
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",4,Social,Artistic,
29-1125.00,Recreational Therapists,4,Social,Artistic,
25-2057.00,"Special Education Teachers, Middle School",4,Social,Artistic,
25-1031.00,"Architecture Teachers, Postsecondary",5,Social,Artistic,
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",5,Social,Artistic,
25-1122.00,"Communications Teachers, Postsecondary",5,Social,Artistic,
25-2051.00,"Special Education Teachers, Preschool",5,Social,Artistic,
27-2011.00,Actors,2,Artistic,Enterprising,
27-1011.00,Art Directors,4,Artistic,Enterprising,
27-1025.00,Interior Designers,4,Artistic,Enterprising,
27-2012.04,Talent Directors,4,Enterprising,Artistic,
43-9081.00,Proofreaders and Copy Markers,4,Conventional,Artistic,
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2,Enterprising,Social,
29-2099.08,Patient Representatives,3,Social,Enterprising,
39-7011.00,Tour Guides and Escorts,3,Social,Enterprising,
21-1021.00,"Child, Family, and School Social Workers",4,Social,Enterprising,
11-9161.00,Emergency Management Directors,4,Social,Enterprising,
21-1091.00,Health Education Specialists,4,Social,Enterprising,
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",4,Enterprising,Social,
11-9179.01,Fitness and Wellness Coordinators,4,Enterprising,Social,
11-1031.00,Legislators,4,Enterprising,Social,
11-9151.00,Social and Community Service Managers,4,Enterprising,Social,
11-3131.00,Training and Development Managers,4,Enterprising,Social,
23-1023.00,"Judges, Magistrate Judges, and Magistrates",5,Enterprising,Social,
43-6013.00,Medical Secretaries and Administrative Assistants,2,Conventional,Social,
31-9099.01,Speech-Language Pathology Assistants,3,Social,Conventional,
25-9044.00,"Teaching Assistants, Postsecondary",5,Social,Conventional,
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",1,Enterprising,Conventional,
53-1042.01,Recycling Coordinators,2,Enterprising,Conventional,
33-9099.02,Retail Loss Prevention Specialists,2,Enterprising,Conventional,
41-2031.00,Retail Salespersons,2,Enterprising,Conventional,
41-9041.00,Telemarketers,2,Enterprising,Conventional,
43-3011.00,Bill and Account Collectors,2,Conventional,Enterprising,
41-2011.00,Cashiers,2,Conventional,Enterprising,
43-4021.00,Correspondence Clerks,2,Conventional,Enterprising,
41-2021.00,Counter and Rental Clerks,2,Conventional,Enterprising,
43-5011.01,Freight Forwarders,2,Conventional,Enterprising,
43-3051.00,Payroll and Timekeeping Clerks,2,Conventional,Enterprising,
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2,Conventional,Enterprising,
43-3071.00,Tellers,2,Conventional,Enterprising,
43-9022.00,Word Processors and Typists,2,Conventional,Enterprising,
11-3012.00,Administrative Services Managers,3,Enterprising,Conventional,
53-2021.00,Air Traffic Controllers,3,Enterprising,Conventional,
13-1041.08,Customs Brokers,3,Enterprising,Conventional,
11-9071.00,Gambling Managers,3,Enterprising,Conventional,
11-3051.02,Geothermal Production Managers,3,Enterprising,Conventional,
11-3051.06,Hydroelectric Production Managers,3,Enterprising,Conventional,
33-9021.00,Private Detectives and Investigators,3,Enterprising,Conventional,
41-9022.00,Real Estate Sales Agents,3,Enterprising,Conventional,
41-3041.00,Travel Agents,3,Enterprising,Conventional,
39-7012.00,Travel Guides,3,Enterprising,Conventional,
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3,Enterprising,Conventional,
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",3,Conventional,Enterprising,
43-4011.00,Brokerage Clerks,3,Conventional,Enterprising,
27-3092.00,Court Reporters and Simultaneous Captioners,3,Conventional,Enterprising,
47-4011.01,Energy Auditors,3,Conventional,Enterprising,
43-6011.00,Executive Secretaries and Executive Administrative Assistants,3,Conventional,Enterprising,
43-6012.00,Legal Secretaries and Administrative Assistants,3,Conventional,Enterprising,
43-4131.00,Loan Interviewers and Clerks,3,Conventional,Enterprising,
43-3061.00,Procurement Clerks,3,Conventional,Enterprising,
43-5061.00,"Production, Planning, and Expediting Clerks",3,Conventional,Enterprising,
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3,Conventional,Enterprising,
13-2082.00,Tax Preparers,3,Conventional,Enterprising,
13-2061.00,Financial Examiners,4,Enterprising,Conventional,
11-3051.00,Industrial Production Managers,4,Enterprising,Conventional,
15-1299.09,Information Technology Project Managers,4,Enterprising,Conventional,
13-1081.00,Logisticians,4,Enterprising,Conventional,
11-9199.08,Loss Prevention Managers,4,Enterprising,Conventional,
11-2021.00,Marketing Managers,4,Enterprising,Conventional,
11-9141.00,"Property, Real Estate, and Community Association Managers",4,Enterprising,Conventional,
11-3061.00,Purchasing Managers,4,Enterprising,Conventional,
41-9021.00,Real Estate Brokers,4,Enterprising,Conventional,
11-9199.01,Regulatory Affairs Managers,4,Enterprising,Conventional,
11-2022.00,Sales Managers,4,Enterprising,Conventional,
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,Enterprising,Conventional,
11-3071.04,Supply Chain Managers,4,Enterprising,Conventional,
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",4,Conventional,Enterprising,
13-1051.00,Cost Estimators,4,Conventional,Enterprising,
13-2041.00,Credit Analysts,4,Conventional,Enterprising,
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4,Conventional,Enterprising,
13-1041.07,Regulatory Affairs Specialists,4,Conventional,Enterprising,
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",4,Conventional,Enterprising,
11-3031.01,Treasurers and Controllers,4,Conventional,Enterprising,
11-1011.00,Chief Executives,5,Enterprising,Conventional,
25-4012.00,Curators,5,Enterprising,Conventional,
11-3031.03,Investment Fund Managers,5,Enterprising,Conventional,
